 Loading the index...
 Index loaded 1758051510 bytes
673;1;1379046
674;2;10769733
675;1;3525787
676;2;826444
677;10;1164917
678;1;52233
679;37;37913723
680;1;143951
681;1;334415
682;1000;2309564
683;2;1415245
684;108;537212
685;3;378430
686;1;4897129
687;2;1036199
688;9;735025
689;1;255747
690;2;461642
691;2;25920776
692;1;1567937
693;1;313786
694;1;674500
695;85;9179408
696;240;1365199
697;1;815329
698;1;531032
699;4;5002834
700;3;147785
701;3;995209
702;8;293350
703;14;3377592
704;12;27157500
705;36;2700299
706;1;183482
707;1;173772
708;447;1987876
709;125;1200179
710;61;3549973
711;7;3025374
712;1;83118577
713;2;719275
714;1000;39590646
715;143;14511526
716;1;1313049
717;1;27781997
718;1;893592
719;1;384026639
720;2;621492
721;3;444831
722;597;31134910
723;1;370000
724;322;5860806
725;1;25601390
726;2;619926
727;1;165126428
728;9;2085136
729;177;2353051
730;2;512277
731;1000;3545268
732;6;1672219
733;1;2510998
734;1;141178
735;7;558965
736;13;1259059
737;3;2230436
738;1;22238053
739;1;7178387
740;7;417154
741;47;2806906
742;1;9639816
743;1;551002
744;1;95766
745;1;66447
746;1;31932227
747;1;137008
748;1;208402
749;3;88941756
750;8;62170696
751;534;3625878
752;1;1578273
753;7;5250411
754;6;259837942
755;1000;5715542
756;1;651100
757;1;19266283
758;1;86422
759;1;1749771
760;1;406253
761;24;819575
762;6;3498840
763;12;845365
764;4;127325
765;4;177880
766;1;134150
767;5;23133731
768;1;348436
769;14;1174030
770;9;3401182
771;39;360877
772;889;12559544
773;1;2014996
774;3;22768538
775;587;10603847
776;10;610839
777;4;598317
778;3;279090
779;1;881229
780;5;59204962
781;19;436920
782;1;4408972
783;1;110360
784;2;95343
785;2;4820712
786;2;784596
787;2;1443544
788;20;519869
789;1;176168
790;1000;25229877
791;1;15273157
792;3;2969080
793;10;172688
794;9;1100416
795;7;903081
796;510;477913
797;2;166249474
798;1;241630
799;1;999402
800;1000;4089104
801;1;73751
802;2;89232
803;724;9754695
804;113;8276827
805;1;96992
