Orig;V1;V2
6003000;3450000;3461000
833000;533000;543000
14695000;9061000;8968000
19721000;14695000;14822000
3453000;2588000;2569000
963000;817000;815000
649000;335000;347000
185000;105000;103000
8225000;5311000;5335000
347000;226000;228000
6857000;4475000;4547000
4505000;3195000;3254000
9426000;6363000;6341000
92226000;67961000;67802000
2690000;638000;659000
858000;664000;655000
2631000;2273000;2233000
420322000;392964000;389145000
8506000;5110000;5301000
885803000;577869000;583114000
1371000;998000;978000
8378999;5702000;5699000
66852999;38040000;38372000
206351000;102884000;108961000
2103000;1110000;1284000
4271000;3116000;3107000
46283000;30868000;31071000
32286000;25606000;25921000
163000;93000;95000
1599000;1396000;1374000
1935000;1226000;1257000
579000;402000;392000
25209000;6690000;6217000
1283000;1097000;1082000
11819000;9250000;9211000
11384000;7329000;7444000
14981000;9674000;9692000
92951000;57883000;58148000
38120000;26770000;26939000
3578000;3120000;3045000
2004000;1059000;1106000
349000;241000;241000
3880000;2908000;2932000
7048000;5515000;5516000
22167000;5334000;5316000
5713000;5018000;4884000
34971000;15155000;17024000
9492000;6674000;6651000
910000;703000;717000
18932000;10507000;10902000
1663000;1315000;1298000
12620000;9652000;9684000
1425000;1096000;1092000
1888000;878000;897000
1563000;727000;846000
12883000;8274000;8262000
49124000;22163000;23069000
17479000;3813000;4216000
7313000;3128000;3409000
1113000;668000;678000
24208000;6684000;6620000
71264000;51262000;50897000
2342000;1506000;1509000
865000;749000;753000
524000;370000;373000
7486000;6620000;6625000
848000;561000;559000
163000;68000;72000
693000;482000;482000
2945000;2019000;2021000
2148000;1879000;1865000
18187000;5382000;5089000
14796000;11318000;11321000
476000;328000;327000
267000;132000;135000
873000;486000;490000
1093000;742000;736000
7851000;6732000;6680000
1467000;796000;805000
23322000;15685000;15777000
13888000;6042000;6602000
3011000;1883000;1888000
2086000;1789000;1767000
4902000;3988000;3983000
21848000;15638000;15681000
18025000;4005000;4057000
2098000;1078000;1085000
5143000;4325000;4333000
27122000;18212000;18321000
687000;491000;481000
286000;183000;175000
19499000;10594000;11304000
762444000;401341000;405697000
671772000;73107000;72700000
2839000;1636000;1755000
3530000;2310000;2328000
10932000;8179000;8258000
7875999;5468000;5553000
1739000;1457000;1436000
2140000;1898000;1884000
6458000;5400000;5373000
5634000;2912000;3603000
10826000;7528000;7650000
176999000;119614000;119550000
136000;86000;82000
277000;156000;156000
30632000;329416000;292448000
488000;194000;212000
804457000;493866000;499201000
2337000;1330000;1320000
2417000;1452000;1436000
941000;810000;812000
3783000;2810000;2778000
1103000;797000;805000
29799000;21645000;21775000
24439000;16749000;16857000
14493000;10789000;10785000
18239000;2616756000;2584238000
413000;1661085000;1681187000
211000;132000;138000
264000;188000;184000
9562000;7172000;7087000
22990000;28114000;8101000
13274000;9364000;2787000
3154000;12554000;12341000
6502000;1882000;2200000
50713000;31534000;31932000
1008999;759000;755000
55102000;26771000;28109000
24312000;11860000;9519000
29159000;18397000;18501000
9613000;7879000;7854000
3875000;2801000;2810000
9183000;6815000;6845000
2983000;1988000;2020000
110802000;73119000;74833000
114894000;67707000;68292000
11311000;5762000;6101000
26922000;16871000;16969000
2851000;4482000;4508000
2624000;1787000;1799000
31102000;23425000;23484000
165000;87000;93000
395000;245000;253000
2240000;1498000;1527000
8101000;5564000;5572000
29662000;20293000;20390000
2779000;1845000;1844000
33714000;24370000;24577000
208000;129000;130000
765000;529000;528000
2766000;1938000;1954000
18385000;5857000;4552000
19481000;7214000;8138000
9410000;6213000;6290000
6328000;4547000;4556000
3463000;2783000;2755000
740000;489000;483000
6034000;3694000;3692000
1531000;1326000;1292000
1310000;1077000;1051000
5726000;4158000;4190000
5424000;2435000;2996000
3142000;2643000;2667000
7235000;5037000;5032000
1549000;1258000;1241000
259999;131000;133000
1206000;824000;825000
2920000;2480000;2435000
5485000;1506000;1509000
12963000;8293000;8340000
1981999;1236000;1249000
162356000;113488000;116231000
9254000;8116000;7961000
37378000;29483000;29422000
6130000;3872000;3959000
7186000;4428000;4411000
6034000;4293000;4339000
6108000;4339000;4388000
2046000;1594000;1594000
72021000;54295000;54390000
3814000;3136000;3130000
9038000;6139000;6165000
6400000;4456000;4485000
165702000;108943000;109644000
68665000;28790000;31156000
5572000;16002535000;15907993000
6793000;5696000;5679000
2398000;2013000;1977000
6370000;5071000;5091000
12940000;7859000;7833000
24413000;12372000;7870000
24819000;17155000;17194000
33520000;23183000;23620000
737000;362000;370000
5074000;3565000;3557000
18903000;13093000;13138000
9305000;6106000;6107000
2902000;2049000;2021000
5493000;3390000;3443000
113000;54000;53000
69120000;36726000;36764000
354000;192000;198000
613000;483000;481000
23953000;3728000;2548000
3293000;8601000;8683000
1855000;474000;539000
1038000;554000;584000
6660000;5484000;5514000
2402000;2061000;2066000
1863000;1034000;1081000
421000;315000;306000
1593000;1225000;1228000
31722000;17520000;17754000
5080000;4003000;3976000
5741000;4907000;4930000
2526000;1804000;1800000
15534000;9600000;9655000
3976999;1229000;1453000
1502000;1287000;1282000
1991000;1159000;1317000
11542000;9670000;9675000
462000;338000;336000
2084000;1535000;1538000
705000;463000;472000
16511000;11595000;11689000
129139000;62614000;64366000
9031000;6044000;6127000
805000;517000;504000
387000;301000;308000
10003000;1687000;1928000
3292000;1140000;1312000
20256000;12339000;12536000
7481000;6285000;6306000
270287000;135985000;136414000
2014999;1421000;1399000
33736000;28929000;15255000
28809000;18416000;18464000
3324000;2557000;2520000
81674000;56837000;57338000
2577000;2290000;2259000
684532000;494576000;501140000
1792000;1137000;1128000
1303000;985000;964000
35391000;21098000;20965000
703000;514000;513000
17418000;8286000;9024000
35801000;24097000;24432000
1465000;1308000;1269000
319770000;241425000;240175000
3253000;2338000;2311000
4148000;3389000;3376000
1505000;981000;994000
17386000;3808000;3534000
4040000;3016000;3027000
16174000;11861000;11796000
508000;354000;356000
2205000;1271000;1309000
3847000;2571000;2611000
11954000;8179000;8129000
39972000;22881000;22674000
13581000;10801000;10786000
1458000;829000;852000
6881000;5047000;5081000
21964000;16026000;16054000
1224000;984000;968000
229000;112000;118000
155000;98000;94000
52421000;37761000;38041000
206000;107000;108000
575000;367000;374000
148912000;88318000;90487000
100621000;66329000;67117000
9416000;3449000;4065000
9187000;6035000;5999000
10272000;161492000;150410000
329808000;171861000;172088000
17819000;5506000;5583000
2448000;1661000;1613000
30672000;19781000;19877000
169000;112000;112000
3350000;2883000;2846000
1387000;929000;917000
3036000;2158000;2213000
10582000;6654000;6716000
4508000;3004000;3006000
348000;195000;203000
860000;594000;592000
325000;235000;231000
61240000;28263000;29118000
665000;526000;519000
2531000;1681000;1719000
4057000;3313000;3325000
899000;355000;408000
35260000;13375000;15280000
3751000;3038000;3038000
28189000;21034000;21098000
28267000;12761000;13999000
1861000;1227000;1223000
2283000;1292000;1317000
591000;451000;459000
2305000;1775000;1788000
59979000;37900000;38279000
1207000;837000;853000
16216999;9431000;9410000
315000;190000;180000
276000;128000;129000
8333999;5538000;5542000
1757000;1467000;1473000
3929000;2938000;2922000
1157000;481000;516000
622000;372000;379000
44257000;19898000;18485000
25814000;734299000;731759000
7682000;5921000;5922000
457000;166000;184000
5290000;3774000;3772000
2478000;1817000;1821000
7438000;768000;607000
149233000;98699000;99695000
420000;346000;329000
2183000;1583000;1562000
7688000;9875000;4514000
204000;106000;103000
224000;101000;101000
25618000;9109000;10403000
25083000;14373000;14646000
227000;155000;155000
1305000;844000;872000
2483000;1872000;1845000
3114000;2392000;2366000
747000;563000;566000
410000;225000;222000
976037000;423042000;458172000
749000;567000;548000
87911000;66226000;66656000
644000;549000;544000
153630000;104678000;105456000
17812000;7626000;8199000
12039000;7145000;7117000
4302000;2539000;2543000
1567000;1080000;1076000
19465000;14199000;14285000
519628000;386424000;389459000
1293000;680000;687000
34171000;21401000;21532000
128999;77000;77000
1988999;1381000;1391000
58135000;15900000;10567000
6802000;3717000;3827000
4996000;36141000;36435000
5606000;4277000;4264000
20892000;9191000;10075000
161000;113000;107000
3309000;1760000;1829000
2060000;1582000;1587000
296000;170000;181000
827000;448000;468000
1262000;1031000;1032000
144000;84000;83000
11436000;8044000;8072000
2448000;952000;1083000
272000;155000;151000
4932000;3978000;3992000
39842000;26843000;27325000
23259000;17019000;17201000
1237000;476000;507000
567003000;250946000;255072000
6823000;4548000;4540000
28908000;17760000;17775000
494000;323000;332000
1806000;1101000;1108000
