Orig;V1;V2;V3;Orig/V3
889000;571000;424000;419000;2.12172
29183000;19439000;11747000;12061000;2.41962
21379000;13121000;9195000;9457000;2.26065
11299000;2446000;2707000;2810000;4.02100
3455000;2863000;2109000;2165000;1.59584
1790000;1173000;857000;862000;2.07657
6976000;5254000;4154000;4214000;1.65543
166420000;127571000;89138000;89774000;1.85377
1462000;1231000;954000;970000;1.50722
15313000;9182000;5704000;5926000;2.58404
42985000;26227000;21376000;22564000;1.90503
35239000;27113000;20891000;21541000;1.63590
2152000;1697000;1305000;1365000;1.57656
6959000;5651000;4033000;4066000;1.71151
947000;826000;651000;634000;1.49369
18207000;10133000;7682000;8165000;2.22988
50603000;36643000;32164000;33494000;1.51081
2682000;896000;720000;1082000;2.47874
2560000;1441000;1080000;1126000;2.27353
6393000;4833000;3864000;3964000;1.61276
59173000;17425000;12751000;10936000;5.41084
382342000;202644000;147839000;158519000;2.41196
14165000;8752000;5724000;5866000;2.41476
539000;377000;296000;303000;1.77888
22227000;15709000;10180000;10291000;2.15985
23466000;18537000;13606000;13910000;1.68699
18940000;12547000;10306000;11147000;1.69911
3015000;2298000;1760000;1755000;1.71795
8630000;6781000;5202000;5407000;1.59608
4964000;3343000;2147000;2093000;2.37172
26140000;20084000;7916000;8426000;3.10230
16146000;13051000;9335000;9664000;1.67074
13191000;11237000;8745000;8810000;1.49728
6904000;4568000;4932000;2208000;3.12681
3647000;2682000;2093000;2194000;1.66226
1091000;732000;524000;516000;2.11434
944000;797000;611000;626000;1.50799
41551000;29434000;21410000;22524000;1.84474
411000;162000;164000;175000;2.34857
40353000;21954000;14678000;14810000;2.72471
4631000;3442000;2945000;3017000;1.53497
2084000;876000;722000;765000;2.72418
5301000;3896000;3131000;3236000;1.63813
4486000;3664000;2881000;2934000;1.52897
2726000;2139000;1754000;1778000;1.53318
15082000;6367000;7784000;8206000;1.83792
248000;176000;133000;130000;1.90769
446000;304000;218000;221000;2.01810
287000;175000;121000;127000;2.25984
653000;456000;358000;363000;1.79890
80912000;54941000;38286000;39833000;2.03128
46722000;21431000;18745000;19008000;2.45802
537000;429000;299000;302000;1.77815
1098515000;13597000000;8805596000;592268000;1.85476
14322000;11358000;8897000;8976000;1.59559
19249000;5298000;4674000;4830000;3.98530
1754000;1179000;793000;803000;2.18431
660000;458000;372000;426000;1.54930
9251000;6215000;4094000;4043000;2.28815
44596000;20524000;19078000;19351000;2.30458
4508000;3557000;2687000;2796000;1.61230
19133000;21369000;5960000;6212000;3.08001
74186000;50832000;40342000;41658000;1.78083
2886000;2042000;1556000;1585000;1.82082
17510000;13742000;10118000;10378000;1.68722
5257000;3987000;3210000;3274000;1.60568
2508000;1792000;1194000;1231000;2.03737
9036000;5220000;3688000;3692000;2.44745
8641000;8674000;2574000;2616000;3.30313
18199000;10211000;7695000;8190000;2.22210
1520000;990000;630000;636000;2.38994
4759000;3546000;2313000;2372000;2.00632
7109000;5757000;4229000;4299000;1.65364
704081000;484126000;369480000;382146000;1.84244
6871000;4718000;3151000;3207000;2.14250
338015000;187436000;179031000;191542000;1.76470
726000;585000;439000;448000;1.62054
44348000;34645000;30502000;31045000;1.42851
4647000;3621000;2710000;2728000;1.70345
38953000;26502000;23993000;24714000;1.57615
43637000;28772000;20666000;21923000;1.99047
50248000;35588000;28191000;29177000;1.72218
1788000;1336000;877000;900000;1.98667
526000;319000;242000;245000;2.14694
4546000;3120000;2428000;2580000;1.76202
5388000;2594000;2307000;2385000;2.25912
19795000;13418000;10099000;10654000;1.85799
817000;253000;265000;271000;3.01476
3027000;2122000;1511000;1526000;1.98362
16932000;12071000;9035000;9349000;1.81110
16333000;9211000;7663000;7899000;2.06773
14300000;12010000;9106000;9315000;1.53516
17155000;11882000;7814000;7926000;2.16440
1316000;1080000;847000;866000;1.51963
19321000;13680000;9906000;10396000;1.85850
176404000;106387000;81886000;84643000;2.08409
3544000;1608000;1436000;1484000;2.38814
165000;71000;70000;71000;2.32394
24867000;17865000;14568000;14993000;1.65857
1452000;1078000;780000;786000;1.84733
7031000;5978000;4434000;4494000;1.56453
2069000;1570000;1080000;1067000;1.93908
250999;144000;135000;134000;1.87313
2318000;1718000;1200000;1192000;1.94463
1262000;1004000;780000;789000;1.59949
3877000;2798000;1801000;1831000;2.11742
6878000;4696000;2931000;2908000;2.36520
1000999;694000;594000;609000;1.64368
31973000;77681000;10777000;11410000;2.80219
1578000;1380000;1017000;1019000;1.54858
26650000;17050000;13346000;14118000;1.88766
3346000;2365000;1558000;1572000;2.12850
6307000;4254000;2748000;2771000;2.27607
103957000;76815000;58994000;59258000;1.75431
3530000;2340000;1786000;1850000;1.90811
1835000;1204000;829000;843000;2.17675
20100000;13894000;10730000;11226000;1.79049
10986000;4690000;3792000;1739000;6.31742
10081000;24824000;2730000;2110000;4.77773
10216000;8292000;6578000;6726000;1.51888
16021000;11192000;6888000;6941000;2.30817
1007000;749000;535000;530000;1.90000
378000;231000;179000;183000;2.06557
4908000;1938000;1941000;1974000;2.48632
2195000;1580000;1395000;1434000;1.53068
10320000;6264000;5197000;5422000;1.90336
165644000;99690000;80358000;83732000;1.97826
19341000;13462000;10075000;10597000;1.82514
13765000;8103000;5310000;5585000;2.46464
1682000;1025000;735000;734000;2.29155
5731000;4990000;3823000;3835000;1.49439
2025000;1522000;1339000;1358000;1.49116
1340000;1045000;808000;832000;1.61058
3061000;1883000;1517000;1583000;1.93367
1591000;1357000;995000;998000;1.59419
14812000;7301000;4673000;3152000;4.69924
4253000;3777000;2924000;2855000;1.48967
1020000;781000;524000;538000;1.89591
32689999;21587000;16583000;17463000;1.87196
2921000;2260000;1590000;1593000;1.83365
4916000;2071000;2454000;2534000;1.94002
2931000;2495000;1902000;1933000;1.51630
8111999;3496000;2996000;3078000;2.63548
6003000;3450000;2395000;2501000;2.40024
833000;533000;418000;415000;2.00723
14695000;9061000;6095000;6272000;2.34295
19721000;14695000;10256000;10244000;1.92513
3453000;2588000;1951000;2004000;1.72305
963000;817000;633000;642000;1.50000
649000;335000;236000;242000;2.68182
185000;105000;110000;109000;1.69725
